Player,#,Pos,Press,Succ,Presspercentage,TKLI,Clr,Team
Bruno Fernandes,18,FW,10,4,40,1,3,MU
Jadon Sancho,25,AM,14,3,21.4,0,0,MU
Paul Pogba,6,AM,18,3,16.7,2,1,MU
   Nemanja Mati?,31,MF,7,4,57.1,1,0,MU
Anthony Elanga,36,AM,23,4,17.4,1,0,MU
Fred,17,DM,29,4,13.8,3,0,MU
Scott McTominay,39,DM,13,2,15.4,2,0,MU
   Marcus Rashford,10,"FW,MF",2,0,0,0,0,MU
Luke Shaw,23,LB,5,2,40,0,0,MU
   Alex Telles,27,DF,6,1,16.7,1,0,MU
Raphaël Varane,19,CB,10,3,30,2,3,MU
Harry Maguire,5,CB,3,0,0,4,5,MU
Diogo Dalot,20,RB,21,3,14.3,1,1,MU
David de Gea,1,GK,0,0,,0,0,MU
Kelechi Iheanacho,14,FW,11,0,0,0,2,LEI
   Patson Daka,29,FW,2,1,50,0,1,LEI
Harvey Barnes,7,AM,6,0,0,0,0,LEI
Kiernan Dewsbury Hall,22,AM,9,3,33.3,3,0,LEI
James Maddison,10,AM,13,2,15.4,2,1,LEI
Nampalys Mendy,24,DM,13,7,53.8,3,1,LEI
   Hamza Choudhury,20,MF,2,0,0,1,0,LEI
Youri Tielemans,8,DM,11,2,18.2,4,2,LEI
Timothy Castagne,27,LB,10,8,80,4,2,LEI
Jonny Evans,6,CB,5,3,60,2,2,LEI
   Daniel Amartey,18,"DF,MF",4,2,50,2,2,LEI
Wesley Fofana,3,CB,3,1,33.3,4,7,LEI
James Justin,2,RB,12,5,41.7,4,1,LEI
Kasper Schmeichel,1,GK,0,0,,0,0,LEI
