Goal,Assist,Tackle,Intercept,Clearance,Shot_on,Shot_off,Pass_Success,Pass_Fail,Cross,Offside,Dribble,Rating
1,0,0,0,0,1,0,38,17,1,0,1,7.1
0,1,0,1,0,0,0,27,10,0,0,4,6.42
0,0,0,1,0,1,0,30,7,0,0,0,6.2
0,0,3,1,0,2,1,49,12,0,0,0,6.03
1,0,0,0,0,2,0,14,2,0,0,2,7.31
1,0,0,2,0,2,0,33,12,0,0,1,7.13
0,0,0,1,0,2,2,27,4,0,0,3,6.17
0,0,1,0,0,0,1,24,5,0,0,0,6.08
0,0,0,1,0,1,0,11,4,1,0,1,6.1
1,1,0,1,0,3,2,37,7,2,1,2,7.6
1,1,1,2,0,1,0,34,14,1,0,1,7.65
0,0,1,1,0,0,1,21,12,0,2,1,5.67
1,0,0,1,0,1,0,18,9,0,0,0,7.2
1,0,6,4,0,1,1,28,11,0,0,1,7.48
1,1,2,2,0,4,1,30,5,0,0,1,7.76
0,0,0,3,0,0,0,14,3,0,1,0,6.1
0,1,2,1,1,0,0,22,5,0,0,0,6.49
2,1,2,3,0,2,0,18,9,0,1,0,8.55
1,1,0,3,0,2,0,26,15,1,0,1,7.53
0,0,0,1,0,1,1,21,15,0,2,1,6
2,0,2,3,1,2,0,25,13,0,0,1,8.25
0,0,3,3,0,1,1,35,7,0,0,0,6.38
0,0,1,1,0,0,1,28,9,0,0,1,6.18
0,0,0,4,0,0,0,28,15,0,1,1,6.01
1,0,2,6,0,1,0,27,15,0,1,2,7.46
0,1,1,2,0,0,1,34,5,0,2,2,6.3
1,0,2,0,0,1,0,38,11,1,0,1,7.28
0,1,0,1,0,2,1,27,10,1,0,1,6.47
2,0,3,1,0,2,2,32,7,0,0,2,8.15
0,0,0,0,0,0,0,28,13,0,0,0,6.08
0,0,2,0,0,0,0,43,11,0,0,2,6.42
0,1,1,3,0,0,0,24,7,0,1,1,6.54
