Date,Match,Position,MP,Rating,Goal,Assist,Tackle,Intercept,Clearance,Save,Shot on,Shot off,Pass Success,Cross,Offside,Dribble,Red Card,Yellow Card
29-Mar-22,Madura United 1 - 2 PERSIKABO 1973,LAM,90,6.07,0,0,0,0,0,0,1,2,23,1,0,8,0,1
19-Mar-22,PERSIRAJA Banda Aceh 0 - 5 PERSIKABO 1973,LFW,90,8.25,3,0,0,0,0,0,3,2,27,0,1,3,0,0
9-Mar-22,PERSELA Lamongan 2 - 3 PERSIKABO 1973,LFW,90,7.28,1,2,0,0,1,0,2,1,16,0,1,2,0,1
5-Mar-22,PERSIKABO 1973 1 - 1 PERSIPURA Jayapura,LFW,90,6.22,0,1,0,1,0,0,2,0,11,1,2,1,0,0
28-Feb-22,PSIS Semarang 1 - 0 PERSIKABO 1973,LFW,90,5.76,0,0,0,2,0,0,1,4,7,1,0,4,0,0
24-Feb-22,PERSIKABO 1973 2 - 0 PSS Sleman,LAM,90,6.03,0,0,0,2,1,0,1,0,10,0,0,4,0,0
20-Feb-22,Bhayangkara Solo FC 4 - 0 PERSIKABO 1973,LFW,90,5.97,0,0,1,0,0,0,2,1,25,0,0,0,0,0
15-Feb-22,PERSIKABO 1973 3 - 0 PSM Makassar,LFW,90,7.95,2,1,0,4,0,0,3,0,16,0,0,2,0,0
11-Feb-22,PERSIKABO 1973 1 - 1 PERSITA Tangerang,LAM,90,6.93,1,0,1,2,0,0,2,2,27,1,1,0,0,0
7-Feb-22,Borneo FC Samarinda 2 - 0 PERSIKABO 1973,RFW,90,6.08,0,0,0,6,1,0,1,3,18,0,0,2,0,0
3-Feb-22,PERSIKABO 1973 0 - 3 Bali United FC,LFW,90,6,0,0,0,1,0,0,1,1,17,0,0,2,0,0
29-Jan-22,PERSIB Bandung 1 - 0 PERSIKABO 1973,RFW,90,6.03,0,0,1,2,0,0,6,1,13,0,0,1,0,0
18-Jan-22,PERSIKABO 1973 1 - 1 PS Barito Putera,LFW,73,6.01,0,0,0,0,0,0,2,0,12,0,0,1,0,0
14-Jan-22,PERSIK Kediri 1 - 2 PERSIKABO 1973,LFW,90,6.74,0,1,1,1,0,0,2,2,19,1,0,7,0,0
10-Jan-22,PERSIKABO 1973 2 - 3 PERSEBAYA Surabaya,RFW,90,7.04,1,0,0,0,0,0,4,0,26,0,0,6,0,0
5-Jan-22,Arema FC 0 - 0 PERSIKABO 1973,RAM,90,6.09,0,0,1,3,1,0,0,1,24,0,0,3,0,0
9-Dec-21,PERSIKABO 1973 5 - 0 PERSIRAJA Banda Aceh,RAM,90,8.4,3,0,0,0,0,0,6,4,27,1,2,5,0,0
3-Dec-21,PERSIJA Jakarta 1 - 0 PERSIKABO 1973,LAM,90,5.85,0,0,0,1,0,0,0,2,22,0,0,3,0,1
27-Nov-21,PERSIKABO 1973 4 - 2 PERSELA Lamongan,RAM,90,8.13,3,0,0,2,0,0,3,2,16,1,1,1,0,0
22-Nov-21,PERSIPURA Jayapura 2 - 1 PERSIKABO 1973,LAM,90,6.83,1,0,0,0,0,0,2,1,17,0,0,0,0,0
18-Nov-21,PERSIKABO 1973 2 - 2 PSIS Semarang,RAM,90,5.91,0,0,0,1,0,0,2,2,17,1,0,0,0,0
7-Nov-21,PSS Sleman 3 - 2 PERSIKABO 1973,RFW,90,6.83,1,0,0,2,0,0,3,1,16,1,0,2,0,0
31-Oct-21,PERSIKABO 1973 0 - 1 Bhayangkara Solo FC,LAM,90,5.95,0,0,0,0,0,0,0,2,22,0,0,1,0,0
26-Oct-21,PSM Makassar 0 - 0 PERSIKABO 1973,LAM,90,6.34,0,0,2,1,0,0,1,3,26,1,0,2,0,0
22-Oct-21,PERSITA Tangerang 2 - 1 PERSIKABO 1973,LAM,90,6.67,1,0,1,1,0,0,3,3,31,0,1,0,0,1
17-Oct-21,PERSIKABO 1973 3 - 0 Borneo FC Samarinda,LFW,47,6.08,0,0,0,0,0,0,1,1,3,0,0,1,0,0
2-Oct-21,Bali United FC 1 - 1 PERSIKABO 1973,LFW,90,6.28,0,0,1,1,1,0,0,1,22,0,0,1,0,0
27-Sep-21,PERSIKABO 1973 0 - 0 PERSIB Bandung,LFW,90,6.14,0,0,1,3,0,0,2,1,24,0,0,1,0,0
23-Sep-21,PS Barito Putera 0 - 3 PERSIKABO 1973,LFW,90,7.83,2,0,0,1,1,0,3,1,15,1,0,2,0,0
17-Sep-21,PERSIKABO 1973 2 - 2 PERSIK Kediri,RFW,90,6.92,0,1,1,1,0,0,2,0,31,1,0,3,0,0
11-Sep-21,PERSEBAYA Surabaya 3 - 1 PERSIKABO 1973,RFW,90,6.97,1,0,0,3,0,0,2,1,33,0,0,2,0,0
3-Sep-21,PERSIKABO 1973 1 - 1 Madura United,RFW,90,6.22,0,1,0,0,0,0,2,0,17,0,1,2,0,0
,,,,211.8,,,,,,,,,,,,,,
,,,,6.61875,,,,,,,,,,,,,,
