Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Status
PSIM,Baasith,Shot,2,19,70,41,98,36,off
PSIM,27.SUGENG,Shot,6,24,91,38,-,-,block
PERSIS,21.AGI,Heading,13,38,7,40,3,56,off
PERSIS,14.HAMDI,Shot,13,38,6,26,0,33,off
PSIM,8.HENDIKA,Shot,14,42,78,25,99,33,off
PSIM,27.SUGENG,Shot,16,20,93,27,97,40,on
PERSIS,21.AGI,Heading,16,58,3,56,1,50,off
PERSIS,11.RIVALDI,Heading,34,9,10,40,2,59,off
PERSIS,9.BETO,Shot,35,34,6,48,1,52,off
PERSIS,9.BETO,Shot,42,20,21,43,0,31,off
PSIM,AP DEWA,Shot,43,46,72,32,99,36,off
PERSIS,11.RIVALDI,Shot,46,15,96,54,99,56,off
PERSIS,9.BETO,Shot,51,0,92,57,99,55,off
PERSIS,14.HAMDI,Shot,53,43,95,27,97,40,on
PERSIS,11.RIVALDI,Shot,53,43,92,50,99,56,off
PERSIS,29.SANDI,Shot,71,54,76,21,99,41,off
PERSIS,9.BETO,Shot,72,52,89,45,99,46,off
PERSIS,9.BETO,Shot,75,20,93,42,98,45,on
PERSIS,6. FERDINAND,Shot,75,34,94,46,99,46,off
PERSIS,9.BETO,Heading,77,20,91,51,99,57,off
PERSIS,29.SANDI,Shot,77,34,76,36,99,55,off
PERSIS,15.FABIANO,Heading,78,34,93,57,99,42,off
PSIM,44. SHEVA,Shot,79,57,20,45,1,45,on
PERSIS,9.BETO,Heading,82,16,89,52,99,58,off
PERSIS,6. FERDINAND,Shot,87,22,74,44,99,43,on
PERSIS,6. FERDINAND,Shot,90,1,89,53,99,45,off
